J1 \ J2,AS2LMoveBot,ASAggressiveBot,ASBot,ASCenterBot,ASGigaSmartBot,ASLAggressiveBot,ASLCenterBot,ASLGigaSmartBot,ASLMoveBot,ASLOpenSpacesBot,ASLSmartBot,ASLStallBot,ASOpenSpacesBot,ASStallBot,AStarBot,RandomBot,RandomMoveBot
AS2LMoveBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASAggressiveBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2,J1
ASCenterBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASGigaSmartBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2,J1
ASLAggressiveBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASLCenterBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASLGigaSmartBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASLMoveBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASLOpenSpacesBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2,J1
ASLSmartBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1
ASLStallBot,J1,J1,J1,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASOpenSpacesBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
ASStallBot,J2,J1,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1,J1
AStarBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J1
RandomBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2
RandomMoveBot,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J2,J1,J2
